query_id,query,short_answer,generated_answer,llm_judge_a,annotator_1,annotator_2
Ylb6WES6qAv8,who sings you're gonna miss me when i'm gone from pitch perfect,['Anna Kendrick'],"The song ""You're Gonna Miss Me When I'm Gone"" from Pitch Perfect is sung by the character Beca Mitchell (Anna Kendrick) in the film. The song is a version of the 1931 Carter Family song ""When I'm Gone"", which was reworked in",1,,
upABAk36A1ZO,who is the music that died in american pie,"['rock and roll musicians Buddy Holly, Ritchie Valens, and J. P. ""The Big Bopper"" Richardson']","The music that died in ""American Pie"" is Buddy Holly, Ritchie Valens, and J.P. ""The Big Bopper"" Richardson",1,,
8tprWTqviOW0,what is the depth of the salton sea,['43 feet (13 m)'],The depth of the Salton Sea is approximately 236.0 feet (71.9 meters) below sea level as of January 2018,0,,
ArB2TOeOvGQY,who is regarded as the finest stringed instrument builder of all time,['Antonio Stradivari'],"Antonio Stradivari is regarded as the finest stringed instrument builder of all time. His instruments, such as violins, cellos, guitars, violas, and harps, are highly prized and still played by professionals today",1,,
ILft9SGVZe8N,where is the kola peninsula located on a map,['in the far northwest of Russiainside the Arctic Circle'],"The Kola Peninsula is located in the far northwest of Russia, almost completely inside the Arctic Circle. It is situated in the Murmansk Oblast region, bordering the Barents Sea in the north and the White Sea in the east and southeast. The peninsula is a part of the Baltic Shield geological region and covers",1,,
6gSwbOG76Iat,the law of the sea treaty established a uniform territorial sea of,['12-nautical-mile (22 km)'],"The Law of the Sea Convention established a uniform territorial sea of 12 nautical miles (22 km) for all countries, but it also provided for the possibility of coastal states to extend their territorial sea up to 200 nautical miles (370 km) in certain cases, such as in",1,,
uz7fv0L6beGf,who own the rights to the black panther movie,['Marvel StudiosWalt Disney Studios Motion Pictures'],"The Black Panther movie is owned by Marvel Studios, which is a subsidiary of The Walt Disney Company. The film's production was led by Ryan Coogler, who is also the director, and Joe Robert Cole, who co-wrote the screenplay. The movie's release was also supported by AMC",1,,
VUD4jehVVK5r,what is the term for a female reproductive cell apex,['the ovule'],"The term for a female reproductive cell apex is ""ovule.""",1,,
kI08gAvmkT5u,who plays sammy on days of our lives,['Alison Sweeney'],Sami Brady is played by Alison Sweeney on the soap opera Days of Our Lives,1,,
zxGv9mNlpQCs,which country had taken lead in establishing saarc,['Bangladesh'],"The country that had taken the lead in establishing SAARC was Bangladesh. According to the information provided, the union was established in Dhaka with Kathmandu being the union's secretariat-general. The first SAARC summit was held in Dhaka on 7–8 December 1985 and hosted by",1,,
IIev2B1BRzUc,what does the name brand mcm stand for,['Michael Cromer München'],"The name ""MCM"" stands for Michael Cromer München, which was the original name of the company founded by Michael Cromer in Munich, Germany, in 1976. The company was later restructured and its name was changed to MCM Worldwide in 2005",1,,
hyytvyL89MUD,who organised a march on the tanjore coast to break the salt law in april 1930,['Mahatma Gandhi'],"The march on the Tanjore coast to break the salt law in April 1930 was organized by C. Rajagopalachari, a close associate of Mahatma Gandhi",0,,
fZonaZ8rTnkZ,who played ruth in its a wonderful life,['Virginia Ann Patton'],Virginia Ann Patton played the role of Ruth Dakin Bailey in Frank Capra's It's a Wonderful Life (1946),1,,
OeNVM6TNnnOE,who has won the boat race more times,['Cambridge'],"Oxford University has won the men's Boat Race more times than Cambridge University. Oxford has won the men's race 80 times, while Cambridge has won it 83 times",1,,
IaobJOP9yDUb,when does april appear in grey's anatomy,['in the fifth episode of the sixth season'],"April Kepner first appears in the episode ""Invasion"" in the season 1 of Grey's Anatomy. She is introduced as a surgical resident from Mercy West Hospital who joins the staff at Seattle Grace Mercy West after the two hospitals merge to compensate for the absence of some of the central cast members",0,,
wxmWFjuhFHnM,who is the nba player who scored 100 points,['Wilt Chamberlain'],"The NBA player who scored 100 points in a single game is Wilt Chamberlain of the Philadelphia Warriors. He scored 100 points against the New York Knicks during a game played at Hersheypark Arena in Hershey, Pennsylvania, on March 2, 19",1,,
u6cueWMGWLgi,what year did seat belts come out in australia,['19701971By 1973'],Seat belts were introduced in Australia in 1964,0,,
C1J3qRK9xyJY,where did the i love you virus originate,['the Pandacan neighborhood of Manila in the Philippines'],"The ILOVEYOU virus originated in the Pandacan neighborhood of Manila, Philippines, on May 5, 2000",1,,
zrRL6UafGtas,where is the actor who played karate kid,['Ralph George Macchio Jr.'],"The actor who played the character of Daniel LaRusso in the Karate Kid is Ralph George Macchio Jr. He is currently residing in southern California, USA",1,,
lhmSQotHN6ok,when did cars land open in california adventure,"['June 15, 2012']","Cars Land opened in Disney California Adventure on June 15, 2012",1,,
8ubhe6ic905h,when does the show six come back on,['likely premiere in 2018'],"Based on the information provided, the show ""Six"" is set to return for a second season on February 23, 2018",1,,
wEukHLoCW4Gf,what is it called when you blur the background in a photo,"[', bokeh']","The term ""Bokeh"" is used to describe the aesthetic quality of the blur produced in the out-of-focus parts of an image produced by a lens. It is a Japanese term that refers to the way the lens renders out-of-focus points of light",1,,
tMk3zDEcCGBv,how many editions of the dsm are there,"['The DSM is now in its fifth edition, the DSM-5']",There are 5 editions of the Diagnostic and Statistical Manual of Mental Disorders (DSM),1,,
sUE4VAmCISZv,where does the tip of a picc line end,['the superior vena cava'],"The tip of a PICC line ends in the superior vena cava (SVC) or the cavoatrial junction. The PICC line is inserted through a peripheral vein in the arm, such as the cephalic, basilic, or brachial vein, and then advanced proximally toward the",1,,
rAtVw5GDgkO9,the process of nitrification is carried out by what group of organisms,['autotrophic bacteriaarchaea'],"The process of nitrification is carried out by groups of autotrophic bacteria and archaea, specifically Nitrosomonas, Nitrospira, and Nitrospira, as well as some Thaumarchaeota (formerly Crenarchaeota). These microbes are responsible for the oxidation of ammonia to nitrite and nitrite",1,,
glbnfflRjWKu,who was the host of the dating game,['James John Lange'],James John Lange was the host of The Dating Game,1,,
Ka5G0k3KXwKs,which are the port roles in stp protocol,['rootdesignatedblocked'],"In the Spanning Tree Protocol (STP) protocol, there are two primary port roles: designated ports and non-designated ports (also known as non-root ports)",1,,
eU2XoBAJRf9B,what is the name of the jewish skull cap,['kippah'],The name of the Jewish skull cap is kippah,1,,
sZjfqWCGKtd2,who played jfk in the movie 13 days,['Bruce Greenwood'],"Kevin Costner played John F. Kennedy in the movie ""13 Days.""",0,,
5AvhOqHxEAUn,where are most peanuts grown in the us,"['the southeastern United States region which includes Alabama, Georgia, and Floridathe southwestern United States region which includes New Mexico, Oklahoma, and Texasthe general eastern United States which include Virginia, North Carolina, and South Carolina']","Most peanuts grown in the United States are produced in the southeastern United States region, specifically in the states of Georgia, Alabama, and Florida",1,,
l5q1LQEENDSl,who does the song take me to church,['Hozier'],"The song ""Take Me to Church"" was written and recorded by Irish musician Hozier",1,,
ZAw0z8FOKmiX,where was the movie guns of navarone filmed,"['Greek island of RhodesAnthony Quinn BayGozo, near MaltaTino, in the Ligurian Sea']","The movie ""The Guns of Navarone"" was filmed in various locations around the world. Some of the key filming locations included:",1,,
lKQyRYcxQnrn,who is going to play in the rose bowl 2018,['the Oklahoma Sooners and the Georgia Bulldogs'],"The 2018 Rose Bowl will feature the #2-ranked Oklahoma Sooners, champions of the Big 12 Conference, playing against the #3-ranked Georgia Bulldogs, champions of the Southeastern Conference",1,,
6CJJGkxU5iaX,where is the brisket on a cow located,['the breast or lower chest'],"The brisket is located on the breast or lower chest of a cow. In the United States, it is a cut of meat from the lower chest of beef or veal",1,,
EyxHgn8yowIN,who will be the king after the queen dies,"['Charles, Prince of Wales']","The king after the Queen dies will be Charles, Prince of Wales, who is the Queen's eldest son. He is the heir apparent, meaning he is next in line to the throne after the Queen",1,,
jQzW52TdimuP,what are two methods in article v of proposing constitutional amendments,['by the Congress with a two-thirds vote in both the House of Representatives and the Senateby a convention of states called for by two-thirds of the state legislatures'],Article V of the United States Constitution provides two methods for proposing constitutional amendments:,1,,
IjclxAC1th2m,who is the detective in sons of anarchy,['Agent June Stahl'],The detective in Sons of Anarchy is Agent June Stahl. She is a fictional character played by Ally Walker,1,,
9pLGC3Itqib5,where does the oil go from a pump jack,['reciprocating piston pump'],"The oil produced from a pumpjack goes to the surface through the tubing, which is a metal pipe that runs the length of the well. The tubing is connected to the sucker rod pump, which has two ball check valves: a standing valve at the bottom of the tubing and a traveling valve on the piston connected to",1,,
J3AA5GEc8sCR,what does cdw stand for on car rental,['optional damage insurance coverage that is available to you when you rent a car'],CDW stands for Collision Damage Waiver. It is an optional insurance coverage that is available to you when you rent a car,1,,
